#RUN	run_id	score_type	score_direction	date_time	search_engine_version	parameters
#PROTEIN	score	rank	accession	coverage	sequence
#UNASSIGNEDPEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
#FEATURE	rt	mz	intensity	charge	width	quality	rt_quality	mz_quality	rt_start	rt_end
#PEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
FEATURE	537.926	150.014591403431	9031.9501953125	0	5.80700016021729	1.34754998271092e-007	0	0	532.119	537.926
FEATURE	488.375	150.014660467706	61913.6015625	0	38.648998260498	9.23741026781499e-007	0	0	488.375	527.024
FEATURE	512.22	150.026585537553	60364.8984375	0	37.1780014038086	9.00632983302785e-007	0	0	502.502	539.68
FEATURE	445.65	150.026843499258	37759.5	0	10.3210000991821	5.63365006200911e-007	0	0	435.329	445.65
FEATURE	27.9692	150.027126266209	268472	0	29.7794494628906	4.00556018576026e-006	0	0	0.430576	30.7164
FEATURE	302.46	150.062890984344	53923300	1	4.56599998474121	0.000876387988682836	0	0	300.074	318.152
FEATURE	60.1141	150.062898413041	191891	0	23.7668991088867	2.86296995000157e-006	0	0	48.1887	92.5085
FEATURE	177.691	150.06303210874	9259200	0	4.00699996948242	0.000138146002427675	0	0	175.397	182.751
FEATURE	184.432	150.063110567582	352435	0	13.6750001907349	5.25826999364654e-006	0	0	183.591	197.266
FEATURE	1.19007	150.063606788699	128771	0	17.168924331665	1.92125003195542e-006	0	0	0.430576	27.5894
FEATURE	36.934	150.063642202774	97631.6015625	0	6.70389986038208	1.45665001127782e-006	0	0	27.7159	36.934
FEATURE	45.5744	150.06368474844	32934.8984375	0	5.13479995727539	4.91382991185674e-007	0	0	42.2132	47.348
FEATURE	349.774	150.064790345345	581006	0	25.4710006713867	8.66851041791961e-006	0	0	341.523	367.836
FEATURE	388.378	150.064820743062	963147	0	48.7000007629395	1.43699999171076e-005	0	0	368.687	539.68
FEATURE	389.229	150.074977935843	36520.6015625	0	10.3290004730225	5.44881004316267e-007	0	0	386.682	397.011
FEATURE	403.85	150.07551643841	32526.19921875	0	6.83799982070923	4.85286022922082e-007	0	0	397.852	435.329
FEATURE	24.5996	150.085862964435	63864.80078125	0	28.6352005004883	9.5285201950901e-007	0	0	0.93695	29.9519
FEATURE	408.168	150.086539019939	136848	0	8.47500038146973	2.04174989448802e-006	0	0	405.531	414.006
FEATURE	362.638	150.087009610003	249511	0	14.5710000991821	3.72266003978439e-006	0	0	353.265	386.682
FEATURE	460.114	150.087032320761	108221	0	7.77199983596802	1.61464004122536e-006	0	0	440.491	463.575
FEATURE	417.465	150.087100358067	203218	0	11.9460000991821	3.03196998174826e-006	0	0	414.844	439.647
FEATURE	393.541	150.08755729004	121852	0	7.78599977493286	1.81799998699717e-006	0	0	387.53	404.691
FEATURE	77.9295	150.536435282025	48885.5	0	5.13479995727539	7.29363023310725e-007	0	0	76.2515	81.3863
FEATURE	469.116	150.99593590566	49111.80078125	0	3.11800003051758	7.32739977138408e-007	0	0	467.893	480.69
FEATURE	49.8696	151.006556097165	69781.703125	0	11.9497995376587	1.04112996268668e-006	0	0	43.8932	55.843
FEATURE	471.852	151.035541419374	469417	0	5.78999996185303	7.00362988936831e-006	0	0	468.735	539.68
FEATURE	33.4695	151.038507369502	262219	0	15.9963998794556	3.91227013096795e-006	0	0	21.7839	50.7103
FEATURE	153.705	151.038932069612	1567940	0	5.72700023651123	2.33934006246272e-005	0	0	149.658	168.677
FEATURE	77.0911	151.038956630777	422707	0	12.8828001022339	6.30672002444044e-006	0	0	65.2332	85.5879
FEATURE	58.4282	151.039004195872	226109	0	11.0699996948242	3.3735000215529e-006	0	0	51.6424	64.3924
FEATURE	103.548	151.039046780177	444310	0	6.73199987411499	6.62902994008618e-006	0	0	100.088	130.279
FEATURE	145.345	151.039081111508	776076	0	5.85099983215332	1.15788998300559e-005	0	0	131.213	148.812
FEATURE	0.683688	151.039110770201	16254.5	0	3.5511040687561	2.42514005321937e-007	0	0	0.430576	21.5947
FEATURE	93.3491	151.039266214936	370516	0	10.2011003494263	5.52804021936026e-006	0	0	86.5233	99.246
FEATURE	179.277	151.039375006045	671063	0	8.16899967193604	1.00120996648911e-005	0	0	169.519	185.276
FEATURE	191.368	151.039517773488	530478	0	7.78200006484985	7.91463025962003e-006	0	0	188.742	196.524
FEATURE	5.33117	151.065398554877	8866.91015625	0	5.81359004974365	1.32292996113392e-007	0	0	0.93695	6.75054
FEATURE	52.4817	151.065926904147	30523.900390625	0	7.65240001678467	4.55410997801664e-007	0	0	47.348	55.0004
FEATURE	376.405	151.074442290812	541099	0	54.6349983215332	8.07309970696224e-006	0	0	367.836	436.271
FEATURE	222.069	151.075168483501	387623	0	7.59200000762939	5.7832698985294e-006	0	0	206.626	254.062
FEATURE	193.897	151.075260885771	326892	0	4.21999979019165	4.87716988573084e-006	0	0	188.742	204.852
FEATURE	137.112	151.075268880342	841238	0	13.4340000152588	1.25510996440426e-005	0	0	132.056	160.305
FEATURE	78.7717	151.075289063886	2713240	0	34.882999420166	4.048109985888e-005	0	0	8.4004	89.0449
FEATURE	115.001	151.07530705785	1753180	0	6.63600015640259	2.61571003647987e-005	0	0	107.662	121.917
FEATURE	95.0285	151.075311909358	1376770	1	8.42409992218018	2.11170008697081e-005	0	0	89.8856	106.819
FEATURE	0.430576	151.075372400857	109365	0	7.38558387756348	1.6317000017807e-006	0	0	0.430576	7.81616
FEATURE	507.453	151.075382965829	444075	0	52.7459983825684	6.62552020003204e-006	0	0	478.168	539.68
FEATURE	126.13	151.075445099344	1305500	0	5.8289999961853	1.94779004232259e-005	0	0	122.759	131.213
FEATURE	184.432	151.075535117561	1006880	0	20.826000213623	1.50223995660781e-005	0	0	166.229	187.896
FEATURE	272.132	151.075694139394	195887	0	7.68100023269653	2.92261006507033e-006	0	0	267.808	275.489
FEATURE	361.789	151.086540584759	209842	0	7.74300003051758	3.13081000058446e-006	0	0	361.789	380.659
FEATURE	92.5085	151.096248673219	66092.3984375	0	11.122200012207	9.86087002274871e-007	0	0	70.1838	92.5085
FEATURE	58.4282	151.096399526457	88233.8984375	0	16.2150001525879	1.31643002987403e-006	0	0	42.2132	58.4282
FEATURE	514.24	151.096647479491	113390	0	20.7569999694824	1.69175996234117e-006	0	0	477.326	539.68
FEATURE	0.430576	151.096805804432	11342.7998046875	0	4.90059423446655	1.69231995528207e-007	0	0	0.430576	6.87702
FEATURE	351.564	151.107992424748	234092	0	9.22299957275391	3.49260994880751e-006	0	0	345.74	355.811
