#RUN	run_id	score_type	score_direction	date_time	search_engine_version	parameters
#PROTEIN	score	rank	accession	coverage	sequence
#UNASSIGNEDPEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
#FEATURE	rt	mz	intensity	charge	width	quality	rt_quality	mz_quality	rt_start	rt_end
#PEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
FEATURE	161.103	95.0848714983141	1528.5400390625	0	5.16400003433228	1.17371000669664e-005	0	0	155.939	161.103
FEATURE	622.146	95.0851274558476	1589.56005859375	0	5.00600004196167	1.22055998872384e-005	0	0	619.685	624.691
FEATURE	283.963	95.0856560986451	1373.13000488281	0	5.87599992752075	1.05437002275721e-005	0	0	283.963	289.839
FEATURE	194.849	95.0860477510046	1940.27001953125	0	6.47700023651123	1.48986000567675e-005	0	0	188.372	194.849
FEATURE	545.605	95.0910251841826	3309.13989257813	0	12.7110004425049	2.54095994023373e-005	0	0	545.605	558.316
FEATURE	431.322	95.0925004323324	1944.83996582031	0	8.39799976348877	1.49336001413758e-005	0	0	431.322	439.72
FEATURE	801.407	95.1161784003763	1117.09997558594	0	5.47599983215332	8.57779014040716e-006	0	0	795.931	801.407
FEATURE	814.163	96.0480662276105	2232.27001953125	0	7.29500007629395	1.71406991285039e-005	0	0	810.508	817.803
FEATURE	781.324	96.0731351552916	3175.19995117188	0	12.7749996185303	2.43810991378268e-005	0	0	774.044	786.819
FEATURE	819.635	96.5150615321661	1578.05004882813	0	3.65300011634827	1.21171997307101e-005	0	0	814.163	837.163
FEATURE	841.403	96.960821544025	2188.8798828125	0	7.78299999237061	1.68076003319584e-005	0	0	833.62	841.403
FEATURE	832.095	97.9688136250795	7117.14990234375	0	9.14999961853027	5.46496994502377e-005	0	0	821.456	841.403
FEATURE	351.028	97.9721817665912	1497.97998046875	0	5.31199979782104	1.15024004117004e-005	0	0	345.716	351.028
FEATURE	479.827	97.9912316300861	2349.5400390625	0	4.9520001411438	1.80412007466657e-005	0	0	471.556	483.254
FEATURE	273.382	97.9919479370117	8973.41015625	0	28.492000579834	6.89032021909952e-005	0	0	256.848	285.34
FEATURE	834.849	97.992181705855	1660.47998046875	0	6.55399990081787	1.27501998576918e-005	0	0	834.849	841.403
FEATURE	338.406	97.9937071270413	1581.11999511719	0	5.48999977111816	1.21408002087264e-005	0	0	338.406	343.896
FEATURE	658.058	98.5106056132502	1993.93005371094	0	8.42000007629395	1.5310499293264e-005	0	0	653.329	661.749
FEATURE	225.665	98.5117597887593	2522.8701171875	0	7.13299989700317	1.93721007235581e-005	0	0	222.024	229.157
FEATURE	832.095	98.511917017814	10039.7001953125	0	14.4729995727539	7.70906990510412e-005	0	0	819.635	841.403
FEATURE	132.406	98.5119341043326	2274.35009765625	0	9.05099964141846	1.74638007592876e-005	0	0	132.406	141.457
FEATURE	267.77	98.5121863462071	3231.1298828125	0	12.9399995803833	2.48105006903643e-005	0	0	256.848	269.788
FEATURE	825.11	99.1541711297959	2085.71997070313	0	5.46000003814697	1.60153995238943e-005	0	0	825.11	830.57
FEATURE	815.983	99.2074067042424	1138.38000488281	0	5.47300004959106	8.74118995852768e-006	0	0	815.983	821.456
FEATURE	321.007	99.5127644239609	2303.3798828125	0	7.49200010299683	1.76866997207981e-005	0	0	321.007	328.499
FEATURE	826.93	100.011014324686	2375.89990234375	0	5.16499996185303	1.82435996975983e-005	0	0	826.93	832.095
FEATURE	693.378	100.078794878583	1780.60998535156	0	5.30499982833862	1.36726002892829e-005	0	0	688.073	693.378
FEATURE	812.343	100.508855475488	8291.490234375	0	18.2320003509521	6.36670010862872e-005	0	0	797.751	817.803
FEATURE	635.344	100.509313110912	1881.0400390625	0	6.25600004196167	1.44436999107711e-005	0	0	635.344	641.6
FEATURE	608.413	100.509555468235	2998.5400390625	0	7.13800001144409	2.30246005230583e-005	0	0	592.481	625.774
