#RUN	run_id	score_type	score_direction	date_time	search_engine_version	parameters
#PROTEIN	score	rank	accession	coverage	sequence
#UNASSIGNEDPEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
#FEATURE	rt	mz	intensity	charge	width	quality	rt_quality	mz_quality	rt_start	rt_end
#PEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
FEATURE	620.449	95.0851193840661	1742.47998046875	0	5.72800016403198	1.35498003146495e-005	0	0	613.104	622.763
FEATURE	797.778	95.8307786421342	1443.55004882813	0	5.46799993515015	1.12253001134377e-005	0	0	797.778	803.246
FEATURE	757.676	95.9060611184309	2673.55004882813	0	10.9540004730225	2.07898992812261e-005	0	0	757.676	768.63
FEATURE	763.171	96.2949868178949	2038.88000488281	0	9.13399982452393	1.5854700905038e-005	0	0	757.676	766.81
FEATURE	801.428	96.5006892353023	1192.4599609375	0	5.46999979019165	9.27274959394708e-006	0	0	795.958	801.428
FEATURE	816.014	96.5149057030221	6850.64013671875	0	24.4500007629395	5.32716985617299e-005	0	0	814.194	838.644
FEATURE	746.745	96.9371288299561	1313.28002929688	0	5.47200012207031	1.02123003671295e-005	0	0	746.745	752.217
FEATURE	825.165	97.0137464318957	2489.28002929688	0	9.15100002288818	1.93569994735299e-005	0	0	816.014	825.165
FEATURE	488.616	97.1027226111701	1852.83996582031	0	8.04399967193604	1.44080004247371e-005	0	0	488.616	496.66
FEATURE	817.835	97.6685074381746	2143.48999023438	0	9.12800025939941	1.6668100215611e-005	0	0	808.707	817.835
FEATURE	774.11	97.725544499416	1670.76000976563	0	5.46000003814697	1.29920999825117e-005	0	0	774.11	779.57
FEATURE	214.827	97.9689148890289	1609.43994140625	0	5.47399997711182	1.25153001135914e-005	0	0	214.827	220.301
FEATURE	826.985	97.9690303584994	11375.7001953125	0	21.7980003356934	8.84596011019312e-005	0	0	819.655	841.453
FEATURE	189.343	97.969496387976	1826.81005859375	0	6.44500017166138	1.42055996548152e-005	0	0	187.914	194.359
FEATURE	721.627	97.9706484476725	1251.11999511719	0	5.21299982070923	9.72890029515838e-006	0	0	721.627	726.84
FEATURE	654.297	97.98973115396	2099.55004882813	0	7.02500009536743	1.63263994181762e-005	0	0	650.557	657.582
FEATURE	531.723	97.9929468373783	2598.21997070313	0	8.63399982452393	2.02041992451996e-005	0	0	525.106	533.74
FEATURE	821.509	98.447903542623	1505.63000488281	0	5.49499988555908	1.17079998744885e-005	0	0	816.014	821.509
FEATURE	774.11	98.4657072179458	1299.47998046875	0	5.46000003814697	1.01050000012037e-005	0	0	774.11	779.57
FEATURE	655.379	98.509601914739	1335.82995605469	0	6.19899988174438	1.0387600013928e-005	0	0	649.18	655.379
FEATURE	556.022	98.5112824731944	2908.1298828125	0	6.69700002670288	2.26140000449959e-005	0	0	552.374	559.071
FEATURE	524.171	98.5113754272461	1440.67004394531	0	6.04500007629395	1.12028001240105e-005	0	0	518.126	524.171
FEATURE	260.861	98.5117670694987	1311.01000976563	0	6.18400001525879	1.01945997812436e-005	0	0	260.861	267.045
FEATURE	448.111	98.5123661938836	1959.13000488281	0	7.62900018692017	1.52345000969945e-005	0	0	442.205	449.834
FEATURE	823.328	98.5124505818685	11316.5	0	19.9440002441406	8.79989966051653e-005	0	0	821.509	841.453
FEATURE	510.029	98.5136084901063	2155.3798828125	0	8.94400024414063	1.6760499420343e-005	0	0	501.085	510.029
FEATURE	775.93	98.7469306768373	2080.8798828125	0	7.30000019073486	1.61812004080275e-005	0	0	768.63	775.93
FEATURE	805.066	99.0313103254451	1408.68005371094	0	5.46000003814697	1.09540997073054e-005	0	0	805.066	810.526
FEATURE	803.246	99.3099298946193	2135.72998046875	0	9.12800025939941	1.66077006724663e-005	0	0	803.246	812.374
FEATURE	566.479	99.5111992354688	1550.88000488281	0	4.03599977493286	1.20597997010918e-005	0	0	564.756	570.022
FEATURE	630.469	99.5113128579926	2540.89990234375	0	4.82299995422363	1.97584995476063e-005	0	0	625.665	632.34
FEATURE	655.379	99.5117235410182	1679.91003417969	0	3.8659999370575	1.306329977524e-005	0	0	651.513	655.379
FEATURE	489.994	99.5117368593321	1166.85998535156	0	3.22000002861023	9.07371031644288e-006	0	0	489.994	493.214
FEATURE	484.462	99.5117515211839	1652.34997558594	0	4.7960000038147	1.28489000417176e-005	0	0	481.214	487.239
FEATURE	596.075	99.5118570955569	1915.81994628906	0	5.29400014877319	1.48976996570127e-005	0	0	595.14	609.362
FEATURE	476.265	99.5118951890075	2753.97998046875	0	6.60599994659424	2.14154006243916e-005	0	0	448.899	478.297
FEATURE	752.217	99.5118998548892	8326.8203125	0	14.5939998626709	6.47506021778099e-005	0	0	748.577	790.499
FEATURE	828.804	99.5120076028547	14530.099609375	0	21.7980003356934	0.00011298900062684	0	0	792.319	841.453
FEATURE	575.089	99.5120416319215	5388.56982421875	0	12.7690000534058	4.19023017457221e-005	0	0	573.563	594.499
FEATURE	694.18	99.5121019046301	1899.66003417969	0	3.52900004386902	1.47720002132701e-005	0	0	691.501	696.262
FEATURE	638.541	99.5122381596083	3598.30004882813	0	7.18499994277954	2.79808991763275e-005	0	0	633.276	650.557
FEATURE	617.035	99.5123085048012	1324.36999511719	0	3.26200008392334	1.02984995464794e-005	0	0	610.445	624.288
FEATURE	519.357	99.5123202967406	1830.13000488281	0	3.41400003433228	1.42314002005151e-005	0	0	516.68	527.86
FEATURE	684.331	99.5123861512141	4681.89013671875	0	10.6280002593994	3.6407098377822e-005	0	0	679.127	690.691
FEATURE	723.186	99.5126065387343	5819.2099609375	0	9.49600028991699	4.52511012554169e-005	0	0	697.372	746.745
FEATURE	676.321	99.5126364871794	3179.13989257813	0	7.28299999237061	2.47214993578382e-005	0	0	666.816	678.487
FEATURE	538.84	99.5129075523139	4837.93017578125	0	13.5340003967285	3.76204989152029e-005	0	0	538.84	563.502
FEATURE	412.452	99.51306837033	2340.3701171875	0	10.7690000534058	1.81990999408299e-005	0	0	408.813	419.582
FEATURE	735.829	100.014196964732	1244.65002441406	0	5.45900011062622	9.67859978118213e-006	0	0	735.829	741.288
FEATURE	392.969	100.507714751017	1984.11999511719	0	5.48099994659424	1.54288009071024e-005	0	0	387.488	392.969
FEATURE	456.098	100.50873952781	1390.85998535156	0	5.14699983596802	1.081560003513e-005	0	0	450.951	456.098
FEATURE	463.42	100.508756102418	2050.47998046875	0	5.95800018310547	1.59448009071639e-005	0	0	463.42	469.378
FEATURE	679.127	100.509284628199	3009.88989257813	0	7.66400003433228	2.34053004533052e-005	0	0	663.092	680.738
FEATURE	600.434	100.509335148091	2618.4599609375	0	6.84000015258789	2.03616000362672e-005	0	0	599.352	607.785
FEATURE	692.733	100.509423819202	3025.69995117188	0	5.87099981307983	2.3528300516773e-005	0	0	690.691	698.307
FEATURE	684.331	100.509526072207	1557.68005371094	0	3.75200009346008	1.21126995509258e-005	0	0	682.461	688.673
FEATURE	735.829	100.509829276537	9609.349609375	0	26.6420001983643	7.47238009353168e-005	0	0	720.103	752.217
FEATURE	707.361	100.510218043979	1270.16003417969	0	3.15199995040894	9.87698967946926e-006	0	0	701.575	718.377
FEATURE	564.756	100.510388927824	1844.0400390625	0	7.20800018310547	1.43396000567009e-005	0	0	550.974	564.756
FEATURE	759.495	100.510470262481	8133.6298828125	0	9.13399982452393	6.3248400692828e-005	0	0	754.037	841.453
FEATURE	801.428	100.806441783905	1746.56005859375	0	5.45800018310547	1.35814998429851e-005	0	0	801.428	806.886
FEATURE	750.399	101.316013061523	1364.5	0	5.45800018310547	1.06105999293504e-005	0	0	750.399	755.857
FEATURE	816.014	101.507838399787	2324.01000976563	0	7.30900001525879	1.80718998308294e-005	0	0	810.526	817.835
